chr	rho	r_cM	lenCorCor	lenClosest	lenMean	DFE_all	DFE_noCpG	genus	pop	species	Ne	Island	
1	0.004657267	2.738938	117954051	120002344	116424203	0.225153	0.154449	Ficedula	FicHypSwe	FicHyp	155580.64	No	
1A	0.004220837	2.693167	73732264	74947036	72685834	0.209878	0.138498	Ficedula	FicHypSwe	FicHyp	155580.64	No	
2	0.004400537	2.813486	154331614	157563209	153125909	0.217357	0.147772	Ficedula	FicHypSwe	FicHyp	155580.64	No	
3	0.004693155	2.719641	114561924	115844353	112793376	0.205738	0.15285	Ficedula	FicHypSwe	FicHyp	155580.64	No	
4	0.004152717	2.459158	72976050	70439523	70015997	0.222331	0.162253	Ficedula	FicHypSwe	FicHyp	155580.64	No	
4A	0.007904417	5.151427	20451253	21182716	20223624	0.163593	0.112291	Ficedula	FicHypSwe	FicHyp	155580.64	No	
5	0.004403737	2.336388	59626954	64724594	61694345	0.229335	0.164046	Ficedula	FicHypSwe	FicHyp	155580.64	No	
6	0.005472718	3.338395	36514087	37227452	35613976	0.222459	0.127352	Ficedula	FicHypSwe	FicHyp	155580.64	No	
7	0.005517095	3.357229	39246143	39412007	38569009	0.193334	0.130885	Ficedula	FicHypSwe	FicHyp	155580.64	No	
8	0.007441223	4.450898	31775369	32100816	30597724	0.236795	0.142797	Ficedula	FicHypSwe	FicHyp	155580.64	No	
9	0.005318782	3.306046	25648982	26793321	25794245	0.233152	0.15052	Ficedula	FicHypSwe	FicHyp	155580.64	No	
10	0.006711985	4.498846	20525061	21346708	20492001	0.154051	0.11435	Ficedula	FicHypSwe	FicHyp	155580.64	No	
11	0.006358335	3.694092	20924582	21727166	20820935	0.147491	0.117395	Ficedula	FicHypSwe	FicHyp	155580.64	No	
12	0.007628523	4.377755	21037236	21938106	20957467	0.123389	0.080069	Ficedula	FicHypSwe	FicHyp	155580.64	No	
13	0.00796059	4.223173	19315571	18641552	17755544	0.17577	0.090904	Ficedula	FicHypSwe	FicHyp	155580.64	No	
14	0.009030785	5.010265	16611975	17374186	16464737	0.190182	0.126362	Ficedula	FicHypSwe	FicHyp	155580.64	No	
15	0.013582697	8.445695	14276578	14943019	14141293	0.149164	0.11006	Ficedula	FicHypSwe	FicHyp	155580.64	No	
17	0.010983337	5.843687	10972141	12378331	11265327	0.189057	0.146777	Ficedula	FicHypSwe	FicHyp	155580.64	No	
18	0.010723257	5.453749	12580095	13163162	11916102	0.182352	0.12351	Ficedula	FicHypSwe	FicHyp	155580.64	No	
19	0.0117709	6.527249	11197607	11933672	10999405	0.170662	0.103684	Ficedula	FicHypSwe	FicHyp	155580.64	No	
20	0.010401965	5.843016	15059066	15675940	15012468	0.167771	0.130272	Ficedula	FicHypSwe	FicHyp	155580.64	No	
21	0.009352103	5.421236	6847934	8073070	7075184	0.165666	0.100425	Ficedula	FicHypSwe	FicHyp	155580.64	No	
22	0.018651533	9.73451	4876366	5733621	4289794	0.09794	0.105586	Ficedula	FicHypSwe	FicHyp	155580.64	No	
23	0.015108233	11.534342	7530976	7944683	6815602	0.102238	0.078006	Ficedula	FicHypSwe	FicHyp	155580.64	No	
24	0.017591733	9.597122	6833524	8009359	7240039	0.152873	0.123855	Ficedula	FicHypSwe	FicHyp	155580.64	No	
26	0.015473967	6.923677	6657878	7653694	6301098	0.137384	0.09323	Ficedula	FicHypSwe	FicHyp	155580.64	No	
27	0.01123182	5.517907	4857840	5572044	4685442	0.104432	0.069678	Ficedula	FicHypSwe	FicHyp	155580.64	No	
28	0.015964583	8.610583	5284033	6182350	5221503	0.180167	0.102709	Ficedula	FicHypSwe	FicHyp	155580.64	No	
1	0.004657267	2.738938	117954051	120002344	116424203	0.233948	0.183225	Ficedula	FicSem	FicSem	152477.07	No	
1A	0.004220837	2.693167	73732264	74947036	72685834	0.252182	0.166253	Ficedula	FicSem	FicSem	152477.07	No	
2	0.004400537	2.813486	154331614	157563209	153125909	0.206033	0.15815	Ficedula	FicSem	FicSem	152477.07	No	
3	0.004693155	2.719641	114561924	115844353	112793376	0.249803	0.176663	Ficedula	FicSem	FicSem	152477.07	No	
4	0.004152717	2.459158	72976050	70439523	70015997	0.203074	0.146205	Ficedula	FicSem	FicSem	152477.07	No	
4A	0.007904417	5.151427	20451253	21182716	20223624	0.174608	0.111426	Ficedula	FicSem	FicSem	152477.07	No	
5	0.004403737	2.336388	59626954	64724594	61694345	0.233426	0.173894	Ficedula	FicSem	FicSem	152477.07	No	
6	0.005472718	3.338395	36514087	37227452	35613976	0.207933	0.131351	Ficedula	FicSem	FicSem	152477.07	No	
7	0.005517095	3.357229	39246143	39412007	38569009	0.205987	0.158778	Ficedula	FicSem	FicSem	152477.07	No	
8	0.007441223	4.450898	31775369	32100816	30597724	0.198294	0.13013	Ficedula	FicSem	FicSem	152477.07	No	
9	0.005318782	3.306046	25648982	26793321	25794245	0.194775	0.141676	Ficedula	FicSem	FicSem	152477.07	No	
10	0.006711985	4.498846	20525061	21346708	20492001	0.167571	0.103071	Ficedula	FicSem	FicSem	152477.07	No	
11	0.006358335	3.694092	20924582	21727166	20820935	0.29102	0.221862	Ficedula	FicSem	FicSem	152477.07	No	
12	0.007628523	4.377755	21037236	21938106	20957467	0.218722	0.129831	Ficedula	FicSem	FicSem	152477.07	No	
13	0.00796059	4.223173	19315571	18641552	17755544	0.216282	0.127764	Ficedula	FicSem	FicSem	152477.07	No	
14	0.009030785	5.010265	16611975	17374186	16464737	0.178896	0.133823	Ficedula	FicSem	FicSem	152477.07	No	
15	0.013582697	8.445695	14276578	14943019	14141293	0.141208	0.095311	Ficedula	FicSem	FicSem	152477.07	No	
17	0.010983337	5.843687	10972141	12378331	11265327	0.192802	0.120179	Ficedula	FicSem	FicSem	152477.07	No	
18	0.010723257	5.453749	12580095	13163162	11916102	0.268529	0.158472	Ficedula	FicSem	FicSem	152477.07	No	
19	0.0117709	6.527249	11197607	11933672	10999405	0.151128	0.100717	Ficedula	FicSem	FicSem	152477.07	No	
20	0.010401965	5.843016	15059066	15675940	15012468	0.30741	0.200253	Ficedula	FicSem	FicSem	152477.07	No	
21	0.009352103	5.421236	6847934	8073070	7075184	0.196624	0.130748	Ficedula	FicSem	FicSem	152477.07	No	
22	0.018651533	9.73451	4876366	5733621	4289794	0.244532	0.127934	Ficedula	FicSem	FicSem	152477.07	No	
23	0.015108233	11.534342	7530976	7944683	6815602	0.202812	0.16716	Ficedula	FicSem	FicSem	152477.07	No	
24	0.017591733	9.597122	6833524	8009359	7240039	0.109245	0.069615	Ficedula	FicSem	FicSem	152477.07	No	
26	0.015473967	6.923677	6657878	7653694	6301098	0.156829	0.094083	Ficedula	FicSem	FicSem	152477.07	No	
27	0.01123182	5.517907	4857840	5572044	4685442	0.092843	0.094281	Ficedula	FicSem	FicSem	152477.07	No	
28	0.015964583	8.610583	5284033	6182350	5221503	0.181637	0.14572	Ficedula	FicSem	FicSem	152477.07	No	
1	0.004657267	2.738938	117954051	120002344	116424203	0.326821	0.240618	Ficedula	FicSpe	FicSpe	159789.81	No	
1A	0.004220837	2.693167	73732264	74947036	72685834	0.313762	0.250051	Ficedula	FicSpe	FicSpe	159789.81	No	
2	0.004400537	2.813486	154331614	157563209	153125909	0.312002	0.224569	Ficedula	FicSpe	FicSpe	159789.81	No	
3	0.004693155	2.719641	114561924	115844353	112793376	0.193827	0.142591	Ficedula	FicSpe	FicSpe	159789.81	No	
4	0.004152717	2.459158	72976050	70439523	70015997	0.307168	0.211998	Ficedula	FicSpe	FicSpe	159789.81	No	
4A	0.007904417	5.151427	20451253	21182716	20223624	0.134245	0.188862	Ficedula	FicSpe	FicSpe	159789.81	No	
5	0.004403737	2.336388	59626954	64724594	61694345	0.190027	0.224685	Ficedula	FicSpe	FicSpe	159789.81	No	
6	0.005472718	3.338395	36514087	37227452	35613976	0.305144	0.226244	Ficedula	FicSpe	FicSpe	159789.81	No	
7	0.005517095	3.357229	39246143	39412007	38569009	0.169143	0.120646	Ficedula	FicSpe	FicSpe	159789.81	No	
8	0.007441223	4.450898	31775369	32100816	30597724	0.316406	0.20538	Ficedula	FicSpe	FicSpe	159789.81	No	
9	0.005318782	3.306046	25648982	26793321	25794245	0.176129	0.123655	Ficedula	FicSpe	FicSpe	159789.81	No	
10	0.006711985	4.498846	20525061	21346708	20492001	0.129063	0.087594	Ficedula	FicSpe	FicSpe	159789.81	No	
11	0.006358335	3.694092	20924582	21727166	20820935	0.17396	0.111414	Ficedula	FicSpe	FicSpe	159789.81	No	
12	0.007628523	4.377755	21037236	21938106	20957467	0.126416	0.099653	Ficedula	FicSpe	FicSpe	159789.81	No	
13	0.00796059	4.223173	19315571	18641552	17755544	0.150888	0.212107	Ficedula	FicSpe	FicSpe	159789.81	No	
14	0.009030785	5.010265	16611975	17374186	16464737	0.138039	0.200571	Ficedula	FicSpe	FicSpe	159789.81	No	
15	0.013582697	8.445695	14276578	14943019	14141293	0.138796	0.0957	Ficedula	FicSpe	FicSpe	159789.81	No	
17	0.010983337	5.843687	10972141	12378331	11265327	0.136254	0.10605	Ficedula	FicSpe	FicSpe	159789.81	No	
18	0.010723257	5.453749	12580095	13163162	11916102	0.134117	0.172521	Ficedula	FicSpe	FicSpe	159789.81	No	
19	0.0117709	6.527249	11197607	11933672	10999405	0.160466	0.102785	Ficedula	FicSpe	FicSpe	159789.81	No	
20	0.010401965	5.843016	15059066	15675940	15012468	0.138153	0.096901	Ficedula	FicSpe	FicSpe	159789.81	No	
21	0.009352103	5.421236	6847934	8073070	7075184	0.330283	0.208196	Ficedula	FicSpe	FicSpe	159789.81	No	
22	0.018651533	9.73451	4876366	5733621	4289794	0.100484	0.05644	Ficedula	FicSpe	FicSpe	159789.81	No	
23	0.015108233	11.534342	7530976	7944683	6815602	0.118277	0.075297	Ficedula	FicSpe	FicSpe	159789.81	No	
24	0.017591733	9.597122	6833524	8009359	7240039	0.100899	0.051421	Ficedula	FicSpe	FicSpe	159789.81	No	
26	0.015473967	6.923677	6657878	7653694	6301098	0.266843	0.185688	Ficedula	FicSpe	FicSpe	159789.81	No	
27	0.01123182	5.517907	4857840	5572044	4685442	0.266024	0.088384	Ficedula	FicSpe	FicSpe	159789.81	No	
28	0.015964583	8.610583	5284033	6182350	5221503	0.120675	0.084819	Ficedula	FicSpe	FicSpe	159789.81	No	
1	0.004657267	2.738938	117954051	118548696	116424203	0.418217	0.334713	Zosterops	ZosMau	ZosMau	93956.87	Yes	
1A	0.004220837	2.693167	73732264	73657157	72685834	0.384104	0.315215	Zosterops	ZosMau	ZosMau	93956.87	Yes	
2	0.004400537	2.813486	154331614	156412533	153125909	0.42114	0.339578	Zosterops	ZosMau	ZosMau	93956.87	Yes	
3	0.004693155	2.719641	114561924	112617285	112793376	0.412367	0.330724	Zosterops	ZosMau	ZosMau	93956.87	Yes	
4	0.004152717	2.459158	72976050	69780378	70015997	0.467937	0.391239	Zosterops	ZosMau	ZosMau	93956.87	Yes	
4A	0.007904417	5.151427	20451253	20704505	20223624	0.325664	0.072729	Zosterops	ZosMau	ZosMau	93956.87	Yes	
5	0.004403737	2.336388	59626954	62374962	61694345	0.333902	0.253847	Zosterops	ZosMau	ZosMau	93956.87	Yes	
6	0.005472718	3.338395	36514087	36305782	35613976	0.3726	0.272716	Zosterops	ZosMau	ZosMau	93956.87	Yes	
7	0.005517095	3.357229	39246143	39844632	38569009	0.387837	0.260661	Zosterops	ZosMau	ZosMau	93956.87	Yes	
8	0.007441223	4.450898	31775369	27993427	30597724	0.370609	0.279799	Zosterops	ZosMau	ZosMau	93956.87	Yes	
9	0.005318782	3.306046	25648982	27241186	25794245	0.365095	0.276344	Zosterops	ZosMau	ZosMau	93956.87	Yes	
10	0.006711985	4.498846	20525061	20806668	20492001	0.309158	0.247765	Zosterops	ZosMau	ZosMau	93956.87	Yes	
11	0.006358335	3.694092	20924582	21403021	20820935	0.318898	0.237162	Zosterops	ZosMau	ZosMau	93956.87	Yes	
12	0.007628523	4.377755	21037236	21576510	20957467	0.364929	0.258314	Zosterops	ZosMau	ZosMau	93956.87	Yes	
13	0.00796059	4.223173	19315571	16962381	17755544	0.347603	0.06896	Zosterops	ZosMau	ZosMau	93956.87	Yes	
14	0.009030785	5.010265	16611975	16419078	16464737	0.301343	0.153887	Zosterops	ZosMau	ZosMau	93956.87	Yes	
15	0.013582697	8.445695	14276578	14428146	14141293	0.282891	0.180223	Zosterops	ZosMau	ZosMau	93956.87	Yes	
17	0.010983337	5.843687	10972141	11648728	11265327	0.300532	0.054673	Zosterops	ZosMau	ZosMau	93956.87	Yes	
18	0.010723257	5.453749	12580095	11201131	11916102	0.284356	0.161175	Zosterops	ZosMau	ZosMau	93956.87	Yes	
19	0.0117709	6.527249	11197607	11587733	10999405	0.285296	0.171141	Zosterops	ZosMau	ZosMau	93956.87	Yes	
20	0.010401965	5.843016	15059066	15652063	15012468	0.370046	0.279382	Zosterops	ZosMau	ZosMau	93956.87	Yes	
21	0.009352103	5.421236	6847934	5979137	7075184	0.381054	0.275444	Zosterops	ZosMau	ZosMau	93956.87	Yes	
22	0.018651533	9.73451	4876366	3370227	4289794	0.356257	0.090555	Zosterops	ZosMau	ZosMau	93956.87	Yes	
23	0.015108233	11.534342	7530976	6196912	6815602	0.326517	0.201909	Zosterops	ZosMau	ZosMau	93956.87	Yes	
24	0.017591733	9.597122	6833524	8021379	7240039	0.37226	0.218467	Zosterops	ZosMau	ZosMau	93956.87	Yes	
26	0.015473967	6.923677	6657878	4907541	6301098	0.306922	0.211235	Zosterops	ZosMau	ZosMau	93956.87	Yes	
27	0.01123182	5.517907	4857840	4618897	4685442	0.302469	0.222422	Zosterops	ZosMau	ZosMau	93956.87	Yes	
28	0.015964583	8.610583	5284033	4963201	5221503	0.547292	0.444725	Zosterops	ZosMau	ZosMau	93956.87	Yes	
1	0.004657267	2.738938	117954051	114059860	116424203	0.221973	0.16063	Parus	ParMaj	ParMaj	144748.47	No	
1A	0.004220837	2.693167	73732264	71365269	72685834	0.174957	0.11276	Parus	ParMaj	ParMaj	144748.47	No	
2	0.004400537	2.813486	154331614	150265477	153125909	0.242684	0.127381	Parus	ParMaj	ParMaj	144748.47	No	
3	0.004693155	2.719641	114561924	111636321	112793376	0.199557	0.138186	Parus	ParMaj	ParMaj	144748.47	No	
4	0.004152717	2.459158	72976050	68030631	70015997	0.183816	0.123831	Parus	ParMaj	ParMaj	144748.47	No	
4A	0.007904417	5.151427	20451253	19934923	20223624	0.165365	0.089653	Parus	ParMaj	ParMaj	144748.47	No	
5	0.004403737	2.336388	59626954	61875929	61694345	0.252025	0.17576	Parus	ParMaj	ParMaj	144748.47	No	
6	0.005472718	3.338395	36514087	34342011	35613976	0.183769	0.11036	Parus	ParMaj	ParMaj	144748.47	No	
7	0.005517095	3.357229	39246143	37653027	38569009	0.198239	0.152204	Parus	ParMaj	ParMaj	144748.47	No	
8	0.007441223	4.450898	31775369	31324166	30597724	0.194266	0.119976	Parus	ParMaj	ParMaj	144748.47	No	
9	0.005318782	3.306046	25648982	25106277	25794245	0.198038	0.138551	Parus	ParMaj	ParMaj	144748.47	No	
10	0.006711985	4.498846	20525061	20202851	20492001	0.16076	0.094981	Parus	ParMaj	ParMaj	144748.47	No	
11	0.006358335	3.694092	20924582	20315886	20820935	0.145445	0.100295	Parus	ParMaj	ParMaj	144748.47	No	
12	0.007628523	4.377755	21037236	20466350	20957467	0.150033	0.103512	Parus	ParMaj	ParMaj	144748.47	No	
13	0.00796059	4.223173	19315571	16480340	17755544	0.19173	0.13186	Parus	ParMaj	ParMaj	144748.47	No	
14	0.009030785	5.010265	16611975	16193477	16464737	0.136725	0.090119	Parus	ParMaj	ParMaj	144748.47	No	
15	0.013582697	8.445695	14276578	13820886	14141293	0.152741	0.100271	Parus	ParMaj	ParMaj	144748.47	No	
17	0.010983337	5.843687	10972141	10486032	11265327	0.175609	0.124221	Parus	ParMaj	ParMaj	144748.47	No	
18	0.010723257	5.453749	12580095	11572643	11916102	0.189368	0.123726	Parus	ParMaj	ParMaj	144748.47	No	
19	0.0117709	6.527249	11197607	9871655	10999405	0.13328	0.069632	Parus	ParMaj	ParMaj	144748.47	No	
20	0.010401965	5.843016	15059066	14661763	15012468	0.28719	0.160331	Parus	ParMaj	ParMaj	144748.47	No	
21	0.009352103	5.421236	6847934	7693166	7075184	0.176417	0.116877	Parus	ParMaj	ParMaj	144748.47	No	
22	0.018651533	9.73451	4876366	4276343	4289794	0.169375	0.127206	Parus	ParMaj	ParMaj	144748.47	No	
23	0.015108233	11.534342	7530976	6655392	6815602	0.120577	0.077163	Parus	ParMaj	ParMaj	144748.47	No	
24	0.017591733	9.597122	6833524	6808513	7240039	0.170938	0.103848	Parus	ParMaj	ParMaj	144748.47	No	
26	0.015473967	6.923677	6657878	6596997	6301098	0.147506	0.112088	Parus	ParMaj	ParMaj	144748.47	No	
27	0.01123182	5.517907	4857840	4327975	4685442	0.16563	0.108749	Parus	ParMaj	ParMaj	144748.47	No	
28	0.015964583	8.610583	5284033	5101010	5221503	0.132422	0.073309	Parus	ParMaj	ParMaj	144748.47	No	
1	0.004657267	2.738938	117954051	118548696	116424203	0.265307	0.216816	Taenopygia	TaeGut	TaeGut	606304.86	No	
1A	0.004220837	2.693167	73732264	73657157	72685834	0.241047	0.176949	Taenopygia	TaeGut	TaeGut	606304.86	No	
2	0.004400537	2.813486	154331614	156412533	153125909	0.260413	0.202182	Taenopygia	TaeGut	TaeGut	606304.86	No	
3	0.004693155	2.719641	114561924	112617285	112793376	0.256846	0.208807	Taenopygia	TaeGut	TaeGut	606304.86	No	
4	0.004152717	2.459158	72976050	69780378	70015997	0.260801	0.18574	Taenopygia	TaeGut	TaeGut	606304.86	No	
4A	0.007904417	5.151427	20451253	20704505	20223624	0.218746	0.117209	Taenopygia	TaeGut	TaeGut	606304.86	No	
5	0.004403737	2.336388	59626954	62374962	61694345	0.244318	0.183287	Taenopygia	TaeGut	TaeGut	606304.86	No	
6	0.005472718	3.338395	36514087	36305782	35613976	0.249787	0.16945	Taenopygia	TaeGut	TaeGut	606304.86	No	
7	0.005517095	3.357229	39246143	39844632	38569009	0.26331	0.168784	Taenopygia	TaeGut	TaeGut	606304.86	No	
8	0.007441223	4.450898	31775369	27993427	30597724	0.256911	0.16063	Taenopygia	TaeGut	TaeGut	606304.86	No	
9	0.005318782	3.306046	25648982	27241186	25794245	0.225701	0.130146	Taenopygia	TaeGut	TaeGut	606304.86	No	
10	0.006711985	4.498846	20525061	20806668	20492001	0.227298	0.13106	Taenopygia	TaeGut	TaeGut	606304.86	No	
11	0.006358335	3.694092	20924582	21403021	20820935	0.248208	0.143098	Taenopygia	TaeGut	TaeGut	606304.86	No	
12	0.007628523	4.377755	21037236	21576510	20957467	0.18681	0.095113	Taenopygia	TaeGut	TaeGut	606304.86	No	
13	0.00796059	4.223173	19315571	16962381	17755544	0.258018	0.181998	Taenopygia	TaeGut	TaeGut	606304.86	No	
14	0.009030785	5.010265	16611975	16419078	16464737	0.155348	0.07522	Taenopygia	TaeGut	TaeGut	606304.86	No	
15	0.013582697	8.445695	14276578	14428146	14141293	0.209663	0.112005	Taenopygia	TaeGut	TaeGut	606304.86	No	
17	0.010983337	5.843687	10972141	11648728	11265327	0.220469	0.116549	Taenopygia	TaeGut	TaeGut	606304.86	No	
18	0.010723257	5.453749	12580095	11201131	11916102	0.199847	0.105427	Taenopygia	TaeGut	TaeGut	606304.86	No	
19	0.0117709	6.527249	11197607	11587733	10999405	0.204402	0.110055	Taenopygia	TaeGut	TaeGut	606304.86	No	
20	0.010401965	5.843016	15059066	15652063	15012468	0.211527	0.11399	Taenopygia	TaeGut	TaeGut	606304.86	No	
21	0.009352103	5.421236	6847934	5979137	7075184	0.199831	0.105553	Taenopygia	TaeGut	TaeGut	606304.86	No	
22	0.018651533	9.73451	4876366	3370227	4289794	0.270053	0.172041	Taenopygia	TaeGut	TaeGut	606304.86	No	
23	0.015108233	11.534342	7530976	6196912	6815602	0.160705	0.077324	Taenopygia	TaeGut	TaeGut	606304.86	No	
24	0.017591733	9.597122	6833524	8021379	7240039	0.221786	0.105993	Taenopygia	TaeGut	TaeGut	606304.86	No	
26	0.015473967	6.923677	6657878	4907541	6301098	0.239367	0.122508	Taenopygia	TaeGut	TaeGut	606304.86	No	
27	0.01123182	5.517907	4857840	4618897	4685442	0.239069	0.137245	Taenopygia	TaeGut	TaeGut	606304.86	No	
28	0.015964583	8.610583	5284033	4963201	5221503	0.236279	0.137962	Taenopygia	TaeGut	TaeGut	606304.86	No	
1	0.004657267	2.738938	117954051	118548696	116424203	0.293559	0.223377	Poecile	PoeAcu	PoeAcu	354448.68	No	
1A	0.004220837	2.693167	73732264	73657157	72685834	0.267665	0.206058	Poecile	PoeAcu	PoeAcu	354448.68	No	
2	0.004400537	2.813486	154331614	156412533	153125909	0.137151	0.099434	Poecile	PoeAcu	PoeAcu	354448.68	No	
3	0.004693155	2.719641	114561924	112617285	112793376	0.142619	0.101814	Poecile	PoeAcu	PoeAcu	354448.68	No	
4	0.004152717	2.459158	72976050	69780378	70015997	0.143795	0.09871	Poecile	PoeAcu	PoeAcu	354448.68	No	
4A	0.007904417	5.151427	20451253	20704505	20223624	0.114107	0.146848	Poecile	PoeAcu	PoeAcu	354448.68	No	
5	0.004403737	2.336388	59626954	62374962	61694345	0.123927	0.090801	Poecile	PoeAcu	PoeAcu	354448.68	No	
6	0.005472718	3.338395	36514087	36305782	35613976	0.130965	0.09355	Poecile	PoeAcu	PoeAcu	354448.68	No	
7	0.005517095	3.357229	39246143	39844632	38569009	0.133102	0.091846	Poecile	PoeAcu	PoeAcu	354448.68	No	
8	0.007441223	4.450898	31775369	27993427	30597724	0.136478	0.091048	Poecile	PoeAcu	PoeAcu	354448.68	No	
9	0.005318782	3.306046	25648982	27241186	25794245	0.103885	0.078866	Poecile	PoeAcu	PoeAcu	354448.68	No	
10	0.006711985	4.498846	20525061	20806668	20492001	0.109275	0.072629	Poecile	PoeAcu	PoeAcu	354448.68	No	
11	0.006358335	3.694092	20924582	21403021	20820935	0.127495	0.089424	Poecile	PoeAcu	PoeAcu	354448.68	No	
12	0.007628523	4.377755	21037236	21576510	20957467	0.092994	0.073691	Poecile	PoeAcu	PoeAcu	354448.68	No	
13	0.00796059	4.223173	19315571	16962381	17755544	0.277484	0.115087	Poecile	PoeAcu	PoeAcu	354448.68	No	
14	0.009030785	5.010265	16611975	16419078	16464737	0.092516	0.061666	Poecile	PoeAcu	PoeAcu	354448.68	No	
15	0.013582697	8.445695	14276578	14428146	14141293	0.242039	0.164513	Poecile	PoeAcu	PoeAcu	354448.68	No	
17	0.010983337	5.843687	10972141	11648728	11265327	0.084017	0.174947	Poecile	PoeAcu	PoeAcu	354448.68	No	
18	0.010723257	5.453749	12580095	11201131	11916102	0.088855	0.067935	Poecile	PoeAcu	PoeAcu	354448.68	No	
19	0.0117709	6.527249	11197607	11587733	10999405	0.11061	0.072049	Poecile	PoeAcu	PoeAcu	354448.68	No	
20	0.010401965	5.843016	15059066	15652063	15012468	0.244021	0.168353	Poecile	PoeAcu	PoeAcu	354448.68	No	
21	0.009352103	5.421236	6847934	5979137	7075184	0.2464	0.067516	Poecile	PoeAcu	PoeAcu	354448.68	No	
22	0.018651533	9.73451	4876366	3370227	4289794	0.10022	0.067594	Poecile	PoeAcu	PoeAcu	354448.68	No	
23	0.015108233	11.534342	7530976	6196912	6815602	0.089028	0.053372	Poecile	PoeAcu	PoeAcu	354448.68	No	
24	0.017591733	9.597122	6833524	8021379	7240039	0.08429	0.06215	Poecile	PoeAcu	PoeAcu	354448.68	No	
26	0.015473967	6.923677	6657878	4907541	6301098	0.103153	0.073886	Poecile	PoeAcu	PoeAcu	354448.68	No	
27	0.01123182	5.517907	4857840	4618897	4685442	0.107868	0.070753	Poecile	PoeAcu	PoeAcu	354448.68	No	
28	0.015964583	8.610583	5284033	4963201	5221503	0.105897	0.084416	Poecile	PoeAcu	PoeAcu	354448.68	No	
1	0.004657267	2.738938	117954051	111556064	116424203	0.144727	0.093488	Fringilla	FriCoeCont	FriCoe	1197640.98	No	
1A	0.004220837	2.693167	73732264	69727445	72685834	0.148884	0.098191	Fringilla	FriCoeCont	FriCoe	1197640.98	No	
2	0.004400537	2.813486	154331614	147056713	153125909	0.144587	0.101049	Fringilla	FriCoeCont	FriCoe	1197640.98	No	
3	0.004693155	2.719641	114561924	109306999	112793376	0.150814	0.100324	Fringilla	FriCoeCont	FriCoe	1197640.98	No	
4	0.004152717	2.459158	72976050	68853404	70015997	0.141608	0.096088	Fringilla	FriCoeCont	FriCoe	1197640.98	No	
4A	0.007904417	5.151427	20451253	18844723	20223624	0.123954	0.07231	Fringilla	FriCoeCont	FriCoe	1197640.98	No	
5	0.004403737	2.336388	59626954	59869284	61694345	0.144209	0.09	Fringilla	FriCoeCont	FriCoe	1197640.98	No	
6	0.005472718	3.338395	36514087	33680547	35613976	0.131603	0.091407	Fringilla	FriCoeCont	FriCoe	1197640.98	No	
7	0.005517095	3.357229	39246143	36689236	38569009	0.145104	0.093646	Fringilla	FriCoeCont	FriCoe	1197640.98	No	
8	0.007441223	4.450898	31775369	29794843	30597724	0.303205	0.098847	Fringilla	FriCoeCont	FriCoe	1197640.98	No	
9	0.005318782	3.306046	25648982	24181457	25794245	0.128337	0.079261	Fringilla	FriCoeCont	FriCoe	1197640.98	No	
10	0.006711985	4.498846	20525061	19578718	20492001	0.107944	0.069277	Fringilla	FriCoeCont	FriCoe	1197640.98	No	
11	0.006358335	3.694092	20924582	19734021	20820935	0.14091	0.082681	Fringilla	FriCoeCont	FriCoe	1197640.98	No	
12	0.007628523	4.377755	21037236	19769134	20957467	0.12086	0.070424	Fringilla	FriCoeCont	FriCoe	1197640.98	No	
13	0.00796059	4.223173	19315571	17377876	17755544	0.141182	0.084986	Fringilla	FriCoeCont	FriCoe	1197640.98	No	
14	0.009030785	5.010265	16611975	15724971	16464737	0.126791	0.081435	Fringilla	FriCoeCont	FriCoe	1197640.98	No	
15	0.013582697	8.445695	14276578	13237838	14141293	0.126521	0.067298	Fringilla	FriCoeCont	FriCoe	1197640.98	No	
17	0.010983337	5.843687	10972141	10841404	11265327	0.108547	0.070991	Fringilla	FriCoeCont	FriCoe	1197640.98	No	
18	0.010723257	5.453749	12580095	11063480	11916102	0.290083	0.076582	Fringilla	FriCoeCont	FriCoe	1197640.98	No	
19	0.0117709	6.527249	11197607	10406357	10999405	0.125833	0.072207	Fringilla	FriCoeCont	FriCoe	1197640.98	No	
20	0.010401965	5.843016	15059066	14013507	15012468	0.150416	0.092946	Fringilla	FriCoeCont	FriCoe	1197640.98	No	
21	0.009352103	5.421236	6847934	6782614	7075184	0.156695	0.088711	Fringilla	FriCoeCont	FriCoe	1197640.98	No	
22	0.018651533	9.73451	4876366	3192413	4289794	0.182143	0.107343	Fringilla	FriCoeCont	FriCoe	1197640.98	No	
23	0.015108233	11.534342	7530976	5750046	6815602	0.132078	0.074899	Fringilla	FriCoeCont	FriCoe	1197640.98	No	
24	0.017591733	9.597122	6833524	6527421	7240039	0.13226	0.08357	Fringilla	FriCoeCont	FriCoe	1197640.98	No	
26	0.015473967	6.923677	6657878	5689380	6301098	0.153875	0.093402	Fringilla	FriCoeCont	FriCoe	1197640.98	No	
27	0.01123182	5.517907	4857840	4050453	4685442	0.192998	0.115973	Fringilla	FriCoeCont	FriCoe	1197640.98	No	
28	0.015964583	8.610583	5284033	4576919	5221503	0.143592	0.081953	Fringilla	FriCoeCont	FriCoe	1197640.98	No	
1	0.004657267	2.738938	117954051	111556064	116424203	0.343063	0.24546	Fringilla	FriCoeIsl	FriCoe	191134.11	Yes	
